,amt,gender,category,is_fraud
904909,79.64,F,grocery_pos,0
96319,58.58,M,gas_transport,0
1135327,145.98,M,shopping_pos,0
843415,43.03,F,misc_net,0
572943,18.16,M,health_fitness,0
78478,89.67,M,shopping_net,0
603833,1.95,F,shopping_net,0
625770,158.7,F,grocery_pos,0
81930,8.64,F,misc_net,0
628035,8.05,F,health_fitness,0
1186347,92.06,F,personal_care,0
277646,42.61,M,home,0
385672,8.94,F,personal_care,0
1205078,68.98,M,food_dining,0
804767,1.97,M,shopping_pos,0
529350,48.3,M,grocery_net,0
476215,54.63,M,grocery_pos,0
844489,8.75,M,travel,0
1233195,25.68,F,kids_pets,0
363399,54.68,F,shopping_net,0
843976,29.99,F,shopping_net,0
297013,46.19,F,shopping_pos,0
593259,50.81,F,personal_care,0
800669,54.81,F,home,0
95608,31.45,F,personal_care,0
1022531,86.65,F,grocery_pos,0
208742,160.54,F,shopping_net,0
1122176,72.4,M,health_fitness,0
771444,53.83,F,kids_pets,0
1118746,77.76,M,entertainment,0
905479,7.8,M,shopping_pos,0
1021658,2.02,M,shopping_net,0
153329,21.11,F,personal_care,0
361410,4.47,M,shopping_pos,0
207577,4.82,M,food_dining,0
563270,77.87,M,entertainment,0
791303,51.8,F,gas_transport,0
1075949,127.58,F,misc_pos,0
1283292,67.77,F,gas_transport,0
823537,66.66,F,gas_transport,0
213571,66.07,F,grocery_pos,0
359042,1.81,F,shopping_pos,0
1268877,4.32,M,misc_net,0
823844,3.3,M,shopping_pos,0
792102,198.59,F,grocery_pos,0
334869,1.35,F,misc_net,0
1169193,22.42,M,misc_pos,0
655331,26.2,M,shopping_net,0
847950,68.05,M,gas_transport,0
272049,103.4,F,food_dining,0
824489,2.01,F,misc_net,0
636607,34.37,M,misc_pos,0
347772,8.77,M,shopping_pos,0
1088643,34.06,F,entertainment,0
1086787,45.06,M,food_dining,0
742278,1.52,M,shopping_pos,0
492058,144.75,F,grocery_pos,0
1129389,55.0,F,kids_pets,0
65718,83.53,M,personal_care,0
1005946,98.07,M,shopping_net,0
397192,71.81,F,gas_transport,0
640471,8.04,F,travel,0
367148,79.49,M,gas_transport,0
1108433,114.99,M,grocery_pos,0
348701,90.49,M,grocery_pos,0
967194,196.78,F,grocery_pos,0
1199883,2.64,F,home,0
993093,5.33,M,personal_care,0
4101,130.22,F,food_dining,0
1235319,2.52,F,food_dining,0
57180,1.76,F,shopping_pos,0
515522,36.58,F,grocery_net,0
738455,4.26,F,kids_pets,0
351868,137.26,F,grocery_pos,0
241047,25.22,M,health_fitness,0
1184688,67.53,F,grocery_net,0
944198,21.54,F,kids_pets,0
908218,105.27,M,misc_net,0
938293,36.69,F,misc_pos,0
999830,64.91,M,gas_transport,0
730870,8.85,M,food_dining,0
311902,7.28,F,shopping_pos,0
751160,121.48,F,personal_care,0
161217,59.49,F,personal_care,0
309012,2.26,M,shopping_pos,0
1090761,42.25,M,health_fitness,0
269027,10.91,M,misc_pos,0
255016,9.65,F,food_dining,0
1274112,9.49,M,entertainment,0
267643,22.2,M,health_fitness,0
109065,18.43,F,entertainment,0
784180,71.91,F,grocery_pos,0
466602,27.83,F,health_fitness,0
28623,29.46,F,kids_pets,0
1133656,48.11,F,gas_transport,0
369387,36.08,M,misc_pos,0
876764,19.01,M,entertainment,0
509854,33.09,M,personal_care,0
432646,6.39,F,misc_pos,0
584756,12.48,F,misc_pos,0
426701,14.82,F,home,0
41171,74.15,F,gas_transport,0
346964,4.67,F,misc_net,0
1092041,54.12,M,gas_transport,0
703170,5.57,F,shopping_net,0
601168,209.22,M,kids_pets,0
515976,50.39,M,grocery_net,0
1026590,1.26,F,health_fitness,0
845933,36.86,F,entertainment,0
445554,67.93,M,food_dining,0
1069164,9.12,F,misc_pos,0
400680,25.94,F,shopping_net,0
1093264,17.59,F,home,0
1281791,128.5,F,health_fitness,0
328622,4.12,M,kids_pets,0
490894,24.1,M,health_fitness,0
1217642,47.1,M,kids_pets,0
1059438,69.67,M,shopping_pos,0
596844,52.32,M,entertainment,0
467080,78.88,F,grocery_pos,0
61878,9.89,F,shopping_pos,0
272653,6.81,F,shopping_pos,0
175000,77.08,F,kids_pets,0
92200,885.94,F,misc_net,0
686951,35.67,M,misc_pos,0
456600,38.93,M,health_fitness,0
817649,46.37,F,gas_transport,0
1025771,34.59,M,misc_pos,0
427355,146.8,M,misc_pos,0
710071,74.4,F,grocery_pos,0
437822,2.88,M,personal_care,0
757350,65.51,F,grocery_pos,0
1040461,71.23,F,health_fitness,0
357102,1.05,F,shopping_pos,0
934124,46.97,F,gas_transport,0
1075516,102.49,F,shopping_net,0
750758,183.61,F,entertainment,0
485594,1.9,M,shopping_pos,0
1202099,42.22,M,entertainment,0
50124,78.16,F,personal_care,0
392803,84.94,M,gas_transport,0
313016,79.82,F,misc_pos,0
81596,41.25,F,misc_pos,0
460687,78.11,M,entertainment,0
1111805,5.1,F,misc_pos,0
1069348,41.49,F,gas_transport,0
179854,52.28,F,gas_transport,0
1147831,44.04,M,misc_net,0
663047,1.72,F,travel,0
1254109,115.9,F,grocery_pos,0
206875,35.8,F,food_dining,0
20224,111.23,F,grocery_pos,0
33189,2.83,M,shopping_net,0
239597,105.98,F,entertainment,0
1217499,79.61,M,home,0
478482,20.76,M,kids_pets,0
930508,69.36,F,misc_pos,0
890006,2.99,M,health_fitness,0
390622,133.85,M,shopping_pos,0
1148250,80.0,F,personal_care,0
853604,51.46,M,grocery_pos,0
1003371,55.42,M,grocery_net,0
805404,38.99,F,home,0
379546,79.57,F,personal_care,0
563136,221.68,F,kids_pets,0
454345,103.73,M,kids_pets,0
1290481,80.36,M,entertainment,0
249208,46.59,M,kids_pets,0
91273,36.18,F,personal_care,0
842839,4.43,M,entertainment,0
384283,25.62,F,shopping_pos,0
1193556,107.85,M,shopping_net,0
381175,51.1,M,grocery_net,0
94681,2.39,M,misc_pos,0
836331,55.51,F,personal_care,0
774172,48.46,F,shopping_net,0
917249,174.76,M,misc_net,0
759527,210.61,F,grocery_pos,0
1002711,4.2,F,shopping_net,0
815599,64.66,M,gas_transport,0
919260,88.75,F,home,0
103679,13.01,F,personal_care,0
685791,80.54,F,kids_pets,0
322644,87.43,M,grocery_pos,0
56833,9.16,M,personal_care,0
1062726,7.62,M,food_dining,0
939963,167.46,M,shopping_pos,0
200163,65.93,F,grocery_pos,0
592261,108.84,F,shopping_net,0
578908,140.95,M,shopping_pos,0
210723,37.98,F,home,0
1289852,23.99,F,personal_care,0
1041530,47.87,M,grocery_net,0
608777,72.72,M,home,0
371545,369.89,F,shopping_pos,0
985,30.24,F,home,0
650723,1.65,F,shopping_pos,0
1147640,155.41,M,shopping_pos,0
835218,6.43,F,shopping_pos,0
1222703,54.87,M,kids_pets,0
875706,63.01,F,home,0
781063,23.65,F,entertainment,0
345155,200.94,M,misc_net,0
850399,9.98,F,shopping_net,0
1175871,5.72,F,personal_care,0
1203709,207.89,F,grocery_pos,0
681181,18.59,F,kids_pets,0
612971,68.08,M,misc_net,0
200922,159.15,F,food_dining,0
1037652,25.71,M,food_dining,0
1017301,37.36,F,grocery_net,0
555961,56.76,F,health_fitness,0
27162,3.28,F,shopping_pos,0
338116,47.81,F,gas_transport,0
102246,28.02,M,health_fitness,0
18642,95.65,M,grocery_net,0
169323,5.39,F,misc_pos,0
1087685,81.04,M,entertainment,0
463324,60.08,M,gas_transport,0
1280311,71.15,F,gas_transport,0
310269,42.92,F,kids_pets,0
761138,80.38,F,grocery_pos,0
1294090,37.95,F,kids_pets,0
929289,59.2,F,grocery_net,0
491429,7.76,F,shopping_pos,0
328404,125.89,F,entertainment,0
605641,23.09,M,home,0
457584,17.2,F,kids_pets,0
1287334,6.71,F,entertainment,0
1154916,24.41,M,health_fitness,0
803780,99.25,M,misc_net,0
667945,76.3,M,shopping_net,0
566587,114.24,M,grocery_pos,0
546277,76.39,F,gas_transport,0
728383,3.5,F,shopping_net,0
500687,1.91,F,travel,0
1130825,4.98,M,food_dining,0
820714,138.65,F,food_dining,0
1232317,152.52,M,kids_pets,0
106234,11.52,F,shopping_pos,0
130640,76.74,M,gas_transport,0
1192353,4.36,M,shopping_net,0
22733,44.32,F,personal_care,0
996342,7.83,F,shopping_pos,0
796229,220.45,F,grocery_pos,0
1088594,101.37,F,kids_pets,0
905999,1.12,F,shopping_pos,0
577940,3.47,F,shopping_pos,0
242846,124.94,M,home,0
849889,7.16,M,travel,0
899338,37.96,F,home,0
326498,232.78,M,entertainment,0
805914,28.73,F,home,0
421837,56.86,F,entertainment,0
885969,64.68,F,gas_transport,0
868717,29.24,F,shopping_net,0
456281,43.25,F,gas_transport,0
514950,8.26,M,misc_net,0
922480,97.35,M,grocery_pos,0
306785,76.28,M,home,0
154018,5.14,F,home,0
211700,149.68,F,grocery_pos,0
